Component Name,Retention Time,Reference m/z,Area,Height,TIC,Formula (mol ion),CAS No.,SI,RSI,HRF Score,RHRF Score,Total Score,Selected Column Type,Calculated RI,Library RI,Delta RI,Library Name,Library ID Number,Sample Name,File name
"D-Limonene",13.659,93.06987,2832776520,755268791,4599617052,C10H16,5989-27-5,726,726,98.9387,98.9387,94.1,StandardNonPolar,1027,1020,7,mainlib,38823,limonene_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\limonene_2026_3_31.raw
"(-)-(E)-Caryophyllene",25.094,91.054283,1606548176,491153325,3800889865,C15H24,87-44-5,830,830,99.4855,99.4855,96.4,StandardNonPolar,1421,1419,2,mainlib,82944,caryophyllene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\caryophyllene_1zu999_2026_3_31.raw
