Component Name,Retention Time,Reference m/z,Area,Height,TIC,Formula (mol ion),CAS No.,SI,RSI,HRF Score,RHRF Score,Total Score,Selected Column Type,Calculated RI,Library RI,Delta RI,Library Name,Library ID Number,Sample Name,File name
"farn33",28.461,121.101295,3628124,1054545,9280653,C15H24,3242-08-8,761,780,92.911,95.543,92.4,SemiStandardNonPolar,1558,1471.0,87.0,mainlib,126790,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn34",28.607,107.085579,11225099,3345181,16967261,C15H24,560-32-7,701,702,98.1503,98.1476,93.3,SemiStandardNonPolar,1564,1457.0,107.0,replib,21140,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn35",29.288,107.085579,34513187,10558855,49398058,C15H24,53585-13-0,761,766,98.5071,98.886,94.6,SemiStandardNonPolar,1593,1533.0,60.0,mainlib,82722,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn36",29.826,119.08567,6592201,1366930,5426481,C15H24,68269-87-4,595,620,98.8425,99.574,91.4,SemiStandardNonPolar,1616,1385.0,231.0,mainlib,219605,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn37",30.249,119.08567,2756976,638141,2851210,C15H24,28976-67-2,755,761,98.4473,98.6195,94.5,SemiStandardNonPolar,1635,1514.0,121.0,mainlib,122882,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn38",30.429,119.08567,4522083,1154626,8434289,C15H24,6831-16-9,741,744,99.0227,99.1073,94.4,SemiStandardNonPolar,1643,1447.0,196.0,replib,20278,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn39",30.52,119.08567,3906745,826221,1263198,C15H24,,812,812,99.3322,99.3322,96.0,SemiStandardNonPolar,1647,1491.0,156.0,mainlib,123041,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn40",30.896,119.08567,9522272,2047581,4597860,C15H24,,739,739,98.7521,98.7521,94.3,SemiStandardNonPolar,1664,,,mainlib,4611,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn41",30.905,93.069984,17647604,4411864,22953650,C15H24,18431-82-8,743,746,97.7408,98.364,94.0,SemiStandardNonPolar,1664,1476.0,188.0,mainlib,219512,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn42",30.983,119.08567,3464432,849605,2924694,C15H24,94482-89-0,522,544,88.1239,92.2258,85.7,SemiStandardNonPolar,1667,1395.0,272.0,mainlib,123271,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn43",31.172,105.070007,471130,99295,621746,C15H24,65128-08-7,514,562,84.5492,90.8225,84.1,SemiStandardNonPolar,1676,1460.0,216.0,replib,21346,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn44",31.338,119.08567,40044059,6681565,30758338,C15H24,50894-66-1,792,798,95.0252,95.8388,93.9,SemiStandardNonPolar,1683,1400.0,283.0,mainlib,122883,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn45",31.98,109.101273,446292,91699,870962,C15H24O,698365-10-5,591,617,99.0997,99.0447,91.5,SemiStandardNonPolar,1712,1746.0,34.0,mainlib,123302,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
"farn46",34.837,205.085876,688019,189949,636748,C15H24O,2934-07-8,660,712,13.128,14.4608,58.5,SemiStandardNonPolar,1848,1516.0,332.0,mainlib,235413,farnesene_1zu999_2026_3_31,C:\TraceFinderData\Projects\maize_set1_run2_res60000_2026_4_1\Data\farnesene_1zu999_2026_3_31.raw
